Name;Price;Марка;Размер;НТП;Тип;Способ производства;Артикул;Описание
Труба 35Х 146 мм в Екатеринбурге;Договорная;35Х;146;ГОСТ 21729-76;конструкционная;-;5360009043;Труба 35Х 146 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 21729-76. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба ХН78Т 38 мм в Екатеринбурге;Договорная;ХН78Т;38;ГОСТ 8732-75;конструкционная;-;5360009044;Труба ХН78Т 38 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8732-75. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба ВТ1-0 51 мм в Екатеринбурге;Договорная;ВТ1-0;51;ГОСТ 18482-79;конструкционная;горячедеформированная;5360009045;Труба ВТ1-0 51 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 18482-79. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 20ГС 140 мм в Екатеринбурге;Договорная;20ГС;140;ГОСТ 9941-81;конструкционная;горячедеформированная;5360009046;Труба 20ГС 140 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 9941-81. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 20К 54 мм в Екатеринбурге;Договорная;20К;54;ГОСТ 8732-78;конструкционная;-;5360009047;Труба 20К 54 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8732-78. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 09Г2С 28 мм в Екатеринбурге;Договорная;09Г2С;28;ГОСТ 8732-78;конструкционная;горячедеформированная;5360009048;Труба 09Г2С 28 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8732-78. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 08кп 146 мм в Екатеринбурге;Договорная;08кп;146;ГОСТ 9941-81;конструкционная;горячедеформированная;5360009049;Труба 08кп 146 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 9941-81. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба Инколой-825 133 мм в Екатеринбурге;Договорная;Инколой-825;133;ГОСТ 8732-75;конструкционная;горячедеформированная;5360009050;Труба Инколой-825 133 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8732-75. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 25ГС 25 мм в Екатеринбурге;Договорная;25ГС;25;ГОСТ 21729-76;конструкционная;горячедеформированная;5360009051;Труба 25ГС 25 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 21729-76. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба сталь 58 68 мм в Екатеринбурге;Договорная;сталь 58;68;ГОСТ 8734-75;конструкционная;горячедеформированная;5360009052;Труба сталь 58 68 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8734-75. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 03Х19Г10Н7М2 14,5 мм в Екатеринбурге;Договорная;03Х19Г10Н7М2;14.5;ГОСТ 8734-75;конструкционная;горячедеформированная;5360009053;Труба 03Х19Г10Н7М2 14,5 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8734-75. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба сталь 3 40 мм в Екатеринбурге;Договорная;сталь 3;40;ГОСТ 8732-78;конструкционная;горячедеформированная;5360009054;Труба сталь 3 40 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8732-78. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 10Х17Н13М2Т 27 мм в Екатеринбурге;Договорная;10Х17Н13М2Т;27;ГОСТ 8734;конструкционная;-;5360009055;Труба 10Х17Н13М2Т 27 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8734. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 30Г 15 мм в Екатеринбурге;Договорная;30Г;15;ГОСТ 8734-75;конструкционная;горячедеформированная;5360009056;Труба 30Г 15 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8734-75. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 40Г2 83 мм в Екатеринбурге;Договорная;40Г2;83;ГОСТ 8734-75;конструкционная;-;5360009057;Труба 40Г2 83 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8734-75. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
