Name;Price;Марка;Размер;НТП;Тип;Способ производства;Артикул;Описание
Труба 06ХН28МДТ 219 мм в Екатеринбурге;Договорная;06ХН28МДТ;219;ГОСТ 8732-75;конструкционная;-;5360002904;Труба 06ХН28МДТ 219 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8732-75. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 40Г2 50 мм в Екатеринбурге;Договорная;40Г2;50;ГОСТ 8734-75;конструкционная;горячедеформированная;5360002905;Труба 40Г2 50 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8734-75. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 30Г 530 мм в Екатеринбурге;Договорная;30Г;530;ГОСТ 8734-75;конструкционная;горячедеформированная;5360002906;Труба 30Г 530 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8734-75. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 12Х18Н9Т 8 мм в Екатеринбурге;Договорная;12Х18Н9Т;8;ГОСТ 8732-75;конструкционная;горячедеформированная;5360002907;Труба 12Х18Н9Т 8 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8732-75. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба сталь 65 351 мм в Екатеринбурге;Договорная;сталь 65;351;ГОСТ 8734-75;конструкционная;горячедеформированная;5360002908;Труба сталь 65 351 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8734-75. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба ХН32Т 42 мм в Екатеринбурге;Договорная;ХН32Т;42;ГОСТ 8734;конструкционная;горячедеформированная;5360002909;Труба ХН32Т 42 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8734. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 09Х16Н4Б 121 мм в Екатеринбурге;Договорная;09Х16Н4Б;121;ГОСТ 18482-79;конструкционная;-;5360002910;Труба 09Х16Н4Б 121 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 18482-79. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 30ХГСН2А 140 мм в Екатеринбурге;Договорная;30ХГСН2А;140;ГОСТ 8734;конструкционная;горячедеформированная;5360002911;Труба 30ХГСН2А 140 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8734. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 60С2 600 мм в Екатеринбурге;Договорная;60С2;600;ГОСТ 18482-79;конструкционная;горячедеформированная;5360002912;Труба 60С2 600 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 18482-79. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 45Г 51 мм в Екатеринбурге;Договорная;45Г;51;ГОСТ 8734-75;конструкционная;горячедеформированная;5360002913;Труба 45Г 51 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8734-75. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба сталь 58 245 мм в Екатеринбурге;Договорная;сталь 58;245;ГОСТ 21729-76;конструкционная;горячедеформированная;5360002914;Труба сталь 58 245 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 21729-76. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 20А 24 мм в Екатеринбурге;Договорная;20А;24;ГОСТ 8732-75;конструкционная;горячедеформированная;5360002915;Труба 20А 24 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8732-75. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба ОТ4 63 мм в Екатеринбурге;Договорная;ОТ4;63;ГОСТ 8734-75;конструкционная;горячедеформированная;5360002916;Труба ОТ4 63 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8734-75. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 09Г2 60 мм в Екатеринбурге;Договорная;09Г2;60;ГОСТ 21729-76;конструкционная;-;5360002917;Труба 09Г2 60 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 21729-76. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба сталь 30 140 мм в Екатеринбурге;Договорная;сталь 30;140;ГОСТ 8734;конструкционная;горячедеформированная;5360002918;Труба сталь 30 140 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8734. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба Инконель 600 80 мм в Екатеринбурге;Договорная;Инконель 600;80;ГОСТ 21729-76;конструкционная;горячедеформированная;5360002919;Труба Инконель 600 80 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 21729-76. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 55С2А 32,5 мм в Екатеринбурге;Договорная;55С2А;32.5;ГОСТ 8732-78;конструкционная;горячедеформированная;5360002920;Труба 55С2А 32,5 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8732-78. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба сталь 15 95 мм в Екатеринбурге;Договорная;сталь 15;95;ГОСТ 8732-75;конструкционная;горячедеформированная;5360002921;Труба сталь 15 95 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8732-75. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 50Г 50,8 мм в Екатеринбурге;Договорная;50Г;50.8;ГОСТ 18482-79;конструкционная;горячедеформированная;5360002922;Труба 50Г 50,8 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 18482-79. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 20К 127 мм в Екатеринбурге;Договорная;20К;127;ГОСТ 8732-75;конструкционная;горячедеформированная;5360002923;Труба 20К 127 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8732-75. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 30ХН2МФА 2220 мм в Екатеринбурге;Договорная;30ХН2МФА;2220;ГОСТ 9941-81;конструкционная;горячедеформированная;5360002924;Труба 30ХН2МФА 2220 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 9941-81. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 08Х17Т 63 мм в Екатеринбурге;Договорная;08Х17Т;63;ГОСТ 8732-78;конструкционная;горячедеформированная;5360002925;Труба 08Х17Т 63 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8732-78. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 10Х23Н18 30 мм в Екатеринбурге;Договорная;10Х23Н18;30;ГОСТ 9941-81;конструкционная;горячедеформированная;5360002926;Труба 10Х23Н18 30 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 9941-81. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 08Х13 203 мм в Екатеринбурге;Договорная;08Х13;203;ГОСТ 18482-79;конструкционная;горячедеформированная;5360002927;Труба 08Х13 203 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 18482-79. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 9Х1 73 мм в Екатеринбурге;Договорная;9Х1;73;ГОСТ 8734-75;конструкционная;горячедеформированная;5360002928;Труба 9Х1 73 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8734-75. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 12ХН3А 12 мм в Екатеринбурге;Договорная;12ХН3А;12;ГОСТ 8734;конструкционная;горячедеформированная;5360002929;Труба 12ХН3А 12 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8734. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба Инконель 600 32 мм в Екатеринбурге;Договорная;Инконель 600;32;ГОСТ 8734;конструкционная;-;5360002930;Труба Инконель 600 32 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8734. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 70Г 70 мм в Екатеринбурге;Договорная;70Г;70;ГОСТ 9941-81;конструкционная;горячедеформированная;5360002931;Труба 70Г 70 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 9941-81. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 15ГС 70 мм в Екатеринбурге;Договорная;15ГС;70;ГОСТ 9941-81;конструкционная;горячедеформированная;5360002932;Труба 15ГС 70 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 9941-81. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 20ГС 127 мм в Екатеринбурге;Договорная;20ГС;127;ГОСТ 8735;конструкционная;горячедеформированная;5360002933;Труба 20ГС 127 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8735. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба ВТ1-0 70 мм в Екатеринбурге;Договорная;ВТ1-0;70;ГОСТ 8732-75;конструкционная;горячедеформированная;5360002934;Труба ВТ1-0 70 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8732-75. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 20Х2Г2СР 143 мм в Екатеринбурге;Договорная;20Х2Г2СР;143;ГОСТ 18482-79;конструкционная;горячедеформированная;5360002935;Труба 20Х2Г2СР 143 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 18482-79. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 9Х2 27 мм в Екатеринбурге;Договорная;9Х2;27;ГОСТ 8732-78;конструкционная;горячедеформированная;5360002936;Труба 9Х2 27 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8732-78. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 20Х13 1220 мм в Екатеринбурге;Договорная;20Х13;1220;ГОСТ 8734;конструкционная;-;5360002937;Труба 20Х13 1220 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8734. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 12Х18Н12Т 38 мм в Екатеринбурге;Договорная;12Х18Н12Т;38;ГОСТ 8734-75;конструкционная;горячедеформированная;5360002938;Труба 12Х18Н12Т 38 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8734-75. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 15Н2М 365 мм в Екатеринбурге;Договорная;15Н2М;365;ГОСТ 18482-79;конструкционная;горячедеформированная;5360002939;Труба 15Н2М 365 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 18482-79. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 12Х13 140 мм в Екатеринбурге;Договорная;12Х13;140;ГОСТ 9941-81;конструкционная;-;5360002940;Труба 12Х13 140 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 9941-81. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 10Г2 45 мм в Екатеринбурге;Договорная;10Г2;45;ГОСТ 21729-76;конструкционная;-;5360002941;Труба 10Г2 45 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 21729-76. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 15Х1М1Ф 73 мм в Екатеринбурге;Договорная;15Х1М1Ф;73;ГОСТ 8732-78;конструкционная;горячедеформированная;5360002942;Труба 15Х1М1Ф 73 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8732-78. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 65Г 68 мм в Екатеринбурге;Договорная;65Г;68;ГОСТ 8734;конструкционная;-;5360002943;Труба 65Г 68 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8734. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба сталь 58 720 мм в Екатеринбурге;Договорная;сталь 58;720;ГОСТ 21729-76;конструкционная;горячедеформированная;5360002944;Труба сталь 58 720 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 21729-76. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 16К 51 мм в Екатеринбурге;Договорная;16К;51;ГОСТ 9941-81;конструкционная;горячедеформированная;5360002945;Труба 16К 51 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 9941-81. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 08пс 630 мм в Екатеринбурге;Договорная;08пс;630;ГОСТ 18482-79;конструкционная;горячедеформированная;5360002946;Труба 08пс 630 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 18482-79. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 15Х1М1Ф 54 мм в Екатеринбурге;Договорная;15Х1М1Ф;54;ГОСТ 8734-75;конструкционная;горячедеформированная;5360002947;Труба 15Х1М1Ф 54 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8734-75. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 30ХН2МА 555 мм в Екатеринбурге;Договорная;30ХН2МА;555;ГОСТ 18482-79;конструкционная;горячедеформированная;5360002948;Труба 30ХН2МА 555 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 18482-79. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба сталь 30 108 мм в Екатеринбурге;Договорная;сталь 30;108;ГОСТ 9941-81;конструкционная;горячедеформированная;5360002949;Труба сталь 30 108 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 9941-81. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба сталь 2 1020 мм в Екатеринбурге;Договорная;сталь 2;1020;ГОСТ 8734;конструкционная;-;5360002950;Труба сталь 2 1020 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8734. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 10Х17Н13М2Т 18 мм в Екатеринбурге;Договорная;10Х17Н13М2Т;18;ГОСТ 8732-78;конструкционная;горячедеформированная;5360002951;Труба 10Х17Н13М2Т 18 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8732-78. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 09Г2С 68 мм в Екатеринбурге;Договорная;09Г2С;68;ГОСТ 8734;конструкционная;горячедеформированная;5360002952;Труба 09Г2С 68 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8734. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 25ГС 114 мм в Екатеринбурге;Договорная;25ГС;114;ГОСТ 18482-79;конструкционная;горячедеформированная;5360002953;Труба 25ГС 114 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 18482-79. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 20А 203 мм в Екатеринбурге;Договорная;20А;203;ГОСТ 9941-81;конструкционная;-;5360002954;Труба 20А 203 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 9941-81. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 12Х1МФ 22 мм в Екатеринбурге;Договорная;12Х1МФ;22;ГОСТ 9941-81;конструкционная;горячедеформированная;5360002955;Труба 12Х1МФ 22 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 9941-81. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 70Г 95 мм в Екатеринбурге;Договорная;70Г;95;ГОСТ 8734-75;конструкционная;горячедеформированная;5360002956;Труба 70Г 95 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8734-75. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 06ХН28МДТ 20 мм в Екатеринбурге;Договорная;06ХН28МДТ;20;ГОСТ 8734-75;конструкционная;горячедеформированная;5360002957;Труба 06ХН28МДТ 20 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8734-75. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 35Х 36 мм в Екатеринбурге;Договорная;35Х;36;ГОСТ 9941-81;конструкционная;горячедеформированная;5360002958;Труба 35Х 36 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 9941-81. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба ВТ1-0 10 мм в Екатеринбурге;Договорная;ВТ1-0;10;ГОСТ 18482-79;конструкционная;-;5360002959;Труба ВТ1-0 10 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 18482-79. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 12Х2Н4А 78 мм в Екатеринбурге;Договорная;12Х2Н4А;78;ГОСТ 9941-81;конструкционная;горячедеформированная;5360002960;Труба 12Х2Н4А 78 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 9941-81. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 20Х23Н18 351 мм в Екатеринбурге;Договорная;20Х23Н18;351;ГОСТ 21729-76;конструкционная;горячедеформированная;5360002961;Труба 20Х23Н18 351 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 21729-76. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 16ГС 180 мм в Екатеринбурге;Договорная;16ГС;180;ГОСТ 21729-76;конструкционная;-;5360002962;Труба 16ГС 180 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 21729-76. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 36Х2Н2МФА 360 мм в Екатеринбурге;Договорная;36Х2Н2МФА;360;ГОСТ 8732-78;конструкционная;горячедеформированная;5360002963;Труба 36Х2Н2МФА 360 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8732-78. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба сталь 50 219 мм в Екатеринбурге;Договорная;сталь 50;219;ГОСТ 18482-79;конструкционная;горячедеформированная;5360002964;Труба сталь 50 219 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 18482-79. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 08Х17Н13М2Т 48 мм в Екатеринбурге;Договорная;08Х17Н13М2Т;48;ГОСТ 8732-78;конструкционная;-;5360002965;Труба 08Х17Н13М2Т 48 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8732-78. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 1Х2М1 108 мм в Екатеринбурге;Договорная;1Х2М1;108;ГОСТ 8734;конструкционная;горячедеформированная;5360002966;Труба 1Х2М1 108 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8734. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 47ГТ 33 мм в Екатеринбурге;Договорная;47ГТ;33;ГОСТ 8734-75;конструкционная;-;5360002967;Труба 47ГТ 33 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8734-75. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 20Х25Н20С2 219 мм в Екатеринбурге;Договорная;20Х25Н20С2;219;ГОСТ 8734-75;конструкционная;горячедеформированная;5360002968;Труба 20Х25Н20С2 219 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8734-75. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба сталь 70 27 мм в Екатеринбурге;Договорная;сталь 70;27;ГОСТ 8734-75;конструкционная;горячедеформированная;5360002969;Труба сталь 70 27 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8734-75. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 12Х18Н9Т 180 мм в Екатеринбурге;Договорная;12Х18Н9Т;180;ГОСТ 8732-75;конструкционная;горячедеформированная;5360002970;Труба 12Х18Н9Т 180 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8732-75. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба сталь 45 70 мм в Екатеринбурге;Договорная;сталь 45;70;ГОСТ 21729-76;конструкционная;-;5360002971;Труба сталь 45 70 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 21729-76. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
